                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0919,                0.89074,                 1.3143,                0.79414,                0.79018,                0.81138,                0.52524,                 1.2364,                0.95672,                  1.493,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0879,                0.89067,                 1.3153,                0.80176,                0.79018,                0.83086,                0.55113,                 1.2063,                0.86551,                 1.4778,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0675,                0.86373,                 1.3031,                0.78094,                0.78571,                0.83113,                0.55443,                 1.1999,                0.86071,                 1.4721,               0.001109,               0.001109,               0.001109
                     48,                 1.0696,                 0.8724,                 1.2953,                0.77221,                0.79911,                0.82651,                0.54667,                  1.198,                0.87184,                 1.4713,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0687,                 0.8579,                 1.2963,                0.76828,                0.80668,                0.83423,                0.55014,                 1.1787,                 0.8529,                 1.4542,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.068,                0.85001,                 1.3007,                0.80619,                0.78348,                0.84399,                0.55563,                 1.1882,                0.85888,                 1.4466,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0485,                0.84514,                 1.2852,                0.77999,                 0.8072,                0.83784,                 0.5662,                 1.1683,                0.86072,                 1.4508,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0564,                0.84394,                 1.2944,                0.78227,                0.77789,                0.80415,                0.52884,                 1.2142,                0.89579,                  1.485,                0.00101,                0.00101,                0.00101
                     53,                 1.0499,                0.82642,                 1.2791,                0.79896,                0.79464,                0.82782,                0.56108,                 1.1351,                0.83883,                 1.4146,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.035,                0.82959,                 1.2701,                0.77328,                0.76562,                0.80193,                 0.5301,                 1.1777,                0.87388,                 1.4688,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0317,                0.81945,                 1.2757,                0.80792,                0.80357,                0.83812,                0.56237,                 1.1604,                0.83597,                 1.4436,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0266,                0.81114,                 1.2709,                0.79023,                 0.8125,                0.83991,                 0.5617,                  1.176,                0.83413,                 1.4651,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0232,                0.79698,                 1.2641,                0.76951,                0.79018,                 0.8249,                0.54017,                 1.2411,                0.85759,                 1.5109,               0.000911,               0.000911,               0.000911
                     58,                 1.0069,                 0.7808,                 1.2592,                0.83408,                0.79672,                0.85886,                0.58239,                 1.1623,                0.80082,                 1.4393,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0136,                 0.7942,                 1.2606,                0.78319,                0.81696,                0.83369,                0.56973,                 1.1367,                0.83376,                 1.4201,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0182,                0.79197,                 1.2611,                0.80754,                0.78671,                0.83678,                0.57147,                 1.1509,                0.82786,                 1.4254,              0.0008516,              0.0008516,              0.0008516
                     61,                0.99672,                0.77176,                 1.2469,                0.80868,                0.77369,                0.83418,                0.56211,                 1.1572,                0.85241,                 1.4285,              0.0008318,              0.0008318,              0.0008318
                     62,                0.99846,                0.77202,                   1.24,                0.79077,                0.81027,                0.83822,                0.55325,                 1.1826,                0.82975,                 1.4481,               0.000812,               0.000812,               0.000812
                     63,                0.99626,                0.78264,                 1.2504,                0.79383,                0.79464,                  0.844,                0.56245,                 1.1641,                0.85907,                 1.4378,              0.0007922,              0.0007922,              0.0007922
                     64,                0.98287,                0.75497,                 1.2398,                0.81609,                0.78247,                0.84397,                0.57426,                 1.1395,                0.82691,                 1.4225,              0.0007724,              0.0007724,              0.0007724
